,department_name,homs_per_100k,total_pop,cluster_category,group
1312,"Albuquerque, N.M.",12.6276464449601,419714.0,2,high
1313,"Arlington, Texas",3.07877560515045,292324.0,2,high
1314,Atlanta,45.5065947464615,404337.0,1,low
1315,"Aurora, Colo.",7.00506310394346,256957.0,2,high
1316,"Austin, Texas",8.78380571749371,523691.0,2,high
1317,Baltimore,45.2114477632268,712209.0,1,low
1318,"Baltimore County, Md.",5.30057022976577,716904.0,2,high
1319,Boston,17.4318840053385,550715.0,0,mid
1320,"Buffalo, N.Y.",19.8466684806095,312395.0,0,mid
1321,"Charlotte-Mecklenburg, N.C.",16.3559044815178,544146.0,0,mid
1322,Chicago,29.9656958241857,2749811.0,0,mid
1323,Cincinnati,13.8985792872253,359749.0,0,mid
1324,Cleveland,26.0567107139539,495074.0,0,mid
1325,"Columbus, Ohio",12.0551908555898,638729.0,2,high
1326,Dallas,26.4852872310208,1042088.0,0,mid
1327,Denver,16.0128735595827,505843.0,0,mid
1328,Detroit,47.6287404855324,997297.0,1,low
1329,"El Paso, Texas",6.26890201028439,590215.0,2,high
1330,"Fairfax County, Va.",1.75122352150035,856544.0,2,high
1331,"Fort Worth, Texas",23.4618885516846,460321.0,0,mid
1332,"Fresno, Calif.",18.2756534833138,388495.0,0,mid
1333,Honolulu,4.31687694401465,880266.0,2,high
1334,Houston,18.2202400343648,1734335.0,0,mid
1335,"Jacksonville, Fla.",12.6629247233298,679148.0,2,high
1336,"Kansas City, Mo.",24.0153159360699,445549.0,0,mid
1337,Las Vegas,14.8720999405116,793432.0,0,mid
1338,"Long Beach, Calif.",18.3471931087943,436034.0,0,mid
1339,Los Angeles,24.4936041112327,3466211.0,0,mid
1340,"Los Angeles County, Calif.",23.3889206579808,970545.0,0,mid
1341,"Memphis, Tenn.",29.0109664658873,623902.0,0,mid
1342,"Mesa, Ariz.",5.23634392306887,324654.0,2,high
1343,Miami,29.0452049007182,378720.0,0,mid
1344,"Miami-Dade County, Fla.",14.5691890789359,1098208.0,0,mid
1345,Milwaukee,22.1698499679501,622467.0,0,mid
1346,Minneapolis,26.8374572627471,357709.0,0,mid
1347,"Montgomery County, Md.",2.51706887329705,794575.0,2,high
1348,"Nashville, Tenn.",20.0503741781734,523681.0,0,mid
1349,"Nassau County, N.Y.",1.65787828637799,1025407.0,2,high
1350,New Orleans,74.5106008263903,487179.0,1,low
1351,New York City,16.0802322985606,7319546.0,0,mid
1352,"Newark, N.J.",39.1957945218113,260232.0,1,low
1353,Oklahoma City,48.6882067296968,466232.0,1,low
1354,"Omaha, Neb.",7.75663695204387,348089.0,2,high
1355,"Orlando, Fla.",10.5761791048099,179649.0,2,high
1356,Philadelphia,28.23809947132,1529848.0,0,mid
1357,Phoenix,19.7106767393751,1085706.0,0,mid
1358,Pittsburgh,16.3481594227409,354780.0,0,mid
1359,"Portland, Ore.",9.3758926176838,458623.0,2,high
1360,"Prince George's County, Md.",19.8271757202963,640535.0,0,mid
1361,"Raleigh, N.C.",7.47225923758048,240891.0,2,high
1362,"Sacramento, Calif.",15.1658263379851,375845.0,0,mid
1363,Salt Lake City,15.361420077945,175765.0,0,mid
1364,San Antonio,14.2014201420142,999900.0,0,mid
1365,San Diego,7.85993084988309,1157771.0,2,high
1366,San Francisco,13.4078938636539,738371.0,2,high
1367,San Jose,4.61812370495051,822845.0,2,high
1368,Seattle,7.74277372593603,529526.0,2,high
1369,"St. Louis, Mo.",54.9236050346638,371425.0,1,low
1370,"Tampa, Fla.",16.2134937664291,289882.0,0,mid
1371,"Tucson, Ariz.",14.4450543467391,449981.0,0,mid
1372,"Tulsa, Okla.",7.95435262175462,377152.0,2,high
1373,"Virginia Beach, Va.",3.6700698918935,435959.0,2,high
1374,"Washington, D.C.",65.1624548736462,554000.0,1,low
1375,"Wichita, Kan.",13.1547284831956,311675.0,2,high
